kode_kemendagri,nama_clean,tipe,tahun,jumlah_kejadian_bnpb,Meninggal,Hilang,luka_sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3212,KABUPATEN INDRAMAYU,KAB,2014,3.0,18,2,0,8376,163,0,103,82033,138,75,0,6,0
3212,KABUPATEN INDRAMAYU,KAB,2015,1.0,0,0,0,23347,1,0,0,6068,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2016,2.0,0,0,0,2050,0,4,0,260,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2017,3.0,0,0,0,1055,0,0,5,567,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2018,2.0,0,0,0,3985,0,0,30,1532,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2019,1.0,0,0,0,25833,0,0,0,8271,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2020,4.0,0,0,0,42897,4,3,58,15333,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2021,12.0,2,0,0,242571,15,2,0,61734,4,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2023,2.0,0,0,0,4380,0,0,0,876,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2024,5.0,0,0,0,30808,0,3,2,6493,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2025,7.0,0,0,1,12888,0,3,3,2940,0,0,0,0,0
3212,KABUPATEN INDRAMAYU,KAB,2026,5.0,0,0,0,5121,0,0,0,1338,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2008,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2009,3.0,0,0,0,19571,0,0,0,0,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2010,5.0,0,0,52,0,18,0,0,3405,0,2,0,0,0
3213,KABUPATEN SUBANG,KAB,2011,4.0,0,0,0,0,0,0,355,1525,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2012,3.0,0,0,0,0,27,0,0,40,0,1,0,0,0
3213,KABUPATEN SUBANG,KAB,2013,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2014,2.0,0,0,0,195189,254,0,0,34738,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2016,1.0,5,1,8,388,6,0,16,0,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2018,2.0,0,0,0,1400,1,0,0,1611,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2019,1.0,0,0,0,0,0,0,0,523,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2020,3.0,0,0,0,9798,0,0,0,17001,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2021,11.0,4,0,1,103447,0,0,0,40916,18,16,0,1,0
3213,KABUPATEN SUBANG,KAB,2022,1.0,0,0,0,290,0,0,0,58,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2023,3.0,2,0,0,29192,0,0,0,12132,8,9,0,0,0
3213,KABUPATEN SUBANG,KAB,2024,6.0,0,0,0,9185,0,0,0,3039,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2025,10.0,0,0,0,13601,6,24,34,3756,0,0,0,0,0
3213,KABUPATEN SUBANG,KAB,2026,3.0,1,0,0,37846,0,0,1,2693,0,0,0,0,0
3214,KABUPATEN PURWAKARTA,KAB,2009,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3214,KABUPATEN PURWAKARTA,KAB,2010,6.0,0,0,10,3908,0,0,365,731,2,8,0,0,0
3214,KABUPATEN PURWAKARTA,KAB,2020,3.0,0,0,0,231,0,0,3,123,0,0,0,0,0
